country,cohort_2005_2024_not_studying_2025,cohort_2025_studying,total_2005_2025
China,760817,196957,957774
India,456887,145012,601899
Nepal,145555,71177,216732
Korea Republic of (South),142149,13991,156140
Brazil,133091,20567,153658
United States of America,139536,7923,147459
Vietnam,108374,36840,145214
Malaysia,120981,14808,135789
Thailand,104075,19472,123547
Colombia,96396,25813,122209
Japan,103571,11580,115151
Indonesia,89593,25409,115002
Philippines,75949,34825,110774
Pakistan,63224,23510,86734
Taiwan,58541,11747,70288
Sri Lanka,48893,21247,70140
Bangladesh,40005,27211,67216
Germany,62805,4322,67127
United Kingdom +,56068,4773,60841
Hong Kong SAR,49060,11279,60339
Singapore,50846,7166,58012
Canada,40074,4041,44115
France,38189,3945,42134
Italy,36723,3964,40687
Spain,34168,4638,38806
Saudi Arabia,32161,4257,36418
Bhutan,18166,13148,31314
Kenya,19135,9814,28949
Chile,23152,5223,28375
Norway,26032,1982,28014
